관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
소래포구 관광안내소,소래포구,인천광역시,남동구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영","설날, 추석",9:00,18:00,9:00,18:00,1,Y,N,Y,,032-431-2213,인천광역시 남동구 아암대로 1605,인천광역시 남동구 논현동 680-2,인천광역시청,http://itour.incheon.go.kr,37.3986024,126.7372037,2019-09-16,6280000,인천광역시
대교공원 체험관광센터,경상남도 사천시 사천대로17,경상남도,사천시,국내외 관광객들에 대한 맞춤형 관광정보를 제공하고 관광안내를 통한 관광객 유치 및 관광객 편의 증진,,명절 및 매주 월요일,9:00,18:00,9:00,18:00,2,N,N,N,없음,055-835-1023,경상남도 사천시 사천대로17,,경상남도 사천시,,34.93246904,128.0521066,2019-09-28,5340000,경상남도 사천시
만남의 광장 관광안내소,경상남도 사천시 축동면 서삼로 1742,경상남도,사천시,국내외 관광객들에 대한 맞춤형 관광정보를 제공하고 관광안내를 통한 관광객 유치 및 관광객 편의 증진,,명절 및 매주 월요일,9:00,18:00,9:00,18:00,1,N,N,N,없음,055-832-9610,경상남도 사천시 축동면 서삼로 1742,경상남도 사천시 축동면 사다리 30,경상남도 사천시,,35.10870661,128.0857358,2019-09-28,5340000,경상남도 사천시
금산군 관광종합안내소,금산군 금산읍 인삼광장로 33,충청남도,금산군,"금산군 관광안내소는 금산인삼약초시장 입구에 위치하고 있어 금산군을 방문하는 관광객에게 다양한 정보를 제공합니다. 관광안내물 배부, 문화관광해설사 예약안내, 단체관람객 안내, 금산특산물, 음식, 숙박정보제공 등 금산군의 관광명소를 찾는 여러분께 친절한 안내를 통해 행복하고 즐거운 금산 방문이 되도록 최선을 다하겠습니다","관광안내지도 및 책자 배부 및 관광안내, 문화관광해설",연중무휴,9:00,18:00,9:00,18:00,1,Y,N,Y,"영어,중국어",041-750-2626,충청남도 금산군 금산읍 인삼광장로 30,충청남도 금산군 금산읍 신대리 392,관광축제팀,http://www.geumsan.go.kr/html/tour/,36.1000256,127.5007304,2019-06-10,4550000,충청남도 금산군
부산의료관광안내센터,서면 메디컬스트리트내(롯데백화점 정문 맞은편),부산광역시,부산진구,"의료관광객들에게 홍보, 상담 등 종합적인 정보를 제공합니다",,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,,051-818-1330,부산광역시 부산진구 가야대로 787,부산광역시 부산진구 부전동 576-1,한국관광공사,www.visitmedicalkorea.com,35.15779256,129.0575283,2019-08-23,3290000,부산광역시 부산진구
삼척관광통역안내소,고속버스터미널 옆,강원도,삼척시,삼척관광안내 및 통역,"휴대폰 충전, 인터넷 서비스",없음,9:00,18:00,9:00,18:00,2,Y,Y,N,"영어, 일본어",033-575-1330,강원도 삼척시 중앙로 192,강원도 삼척시 남양동 334-1,한국여행업협회,없음,37.44044345,129.167998,2019-05-17,4240000,강원도 삼척시
땅끝해남관광안내소,땅끝여객터미널 앞,전라남도,해남군,땅끝 관광지 소개 및 관광일정 컨설팅,,명절연휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-532-3883,전라남도 해남군 송지면 땅끝마을길 70-7,전라남도 해남군 송지면 송호리 1305,전라남도 해남군청,www.haenam.go.kr,34.29839386,126.5290421,2019-06-26,4930000,전라남도 해남군
진도타워안내소,전라남도 진도군 군내면 녹진리 진도타워 정문,전라남도,진도군,진도타워 입장 가격정보 등 안내,특산물 판매,매주월요일,9:00,18:00,9:00,18:00,1,Y,Y,Y,Jindo Tower Center,061-542-0990,전라남도 진도군 군내면 만금길 112-41,전라남도 진도군 군내면 녹진리 산 2-80,전라남도 진도군청,-,34.56602647,126.3024816,2019-10-07,5000000,전라남도 진도군
운림산방안내소,전라남도 진도군 의신면 사천리 운림산방 입구,전라남도,진도군,운림산방 입장 가격정보와 시설 정보 안내,전시관,매주월요일,9:00,18:00,9:00,18:00,1,Y,Y,Y,Ullimsanbang Tour Center,061-540-6286,전라남도 진도군 의신면 운림산방로 315,전라남도 진도군 의신면 사천리 61,전라남도 진도군청,-,34.46699277,126.3083838,2019-10-07,5000000,전라남도 진도군
고양관광안내센터,원마운트 주변,경기도,고양시,고양시 주요 관광명소 소개 및 정보안내,핸드폰충전 +컴퓨터 검색 가능,매주 월요일,10:00,18:00,10:00,18:00,3,Y,Y,Y,,031-911-8030,경기도 고양시 일산서구 한류월드로 280,경기도 고양시 일산서구 대화동 1050-176,경기도 고양시청 신한류관광과,http://www.gytourinfo.or.kr,37.665044,126.756232,2019-01-02,3940000,경기도 고양시
우포늪관광안내소,우포늪생태관,경상남도,창녕군,우포늪 소개,,"1월 1일, 추석 및 설날 당일",10:00,17:00,10:00,17:00,,N,N,N,,055-530-1559,,경상남도 창녕군 유어면 세진리 250-1,경상남도 창녕군청,,35.544117,128.417728,2019-08-07,5410000,경상남도 창녕군
부곡관광안내소,부곡온천,경상남도,창녕군,부곡온천특구 소개,,"매주 월요일,  월요일이 공휴일인 경우 그 다음날 휴무 , 1월 1일, 추석 및 설날 당일",9:00,18:00,9:00,18:00,,N,N,N,,055-536-6275,,경상남도 창녕군 부곡면 거문리 197-18,경상남도 창녕군청,,35.43611212,128.591649,2019-08-07,5410000,경상남도 창녕군
창녕관광안내소,창녕IC,경상남도,창녕군,창녕군 관광 소개,,"1월1일, 추석 및 설날 당일",10:00,17:00,10:00,17:00,,N,N,N,,055-532-0660,,경상남도 창녕군 창녕읍 직교리 539-6,경상남도 창녕군청,,35.540874,128.478475,2019-08-07,5410000,경상남도 창녕군
정읍종합관광안내센터,정읍역,전라북도,정읍시,정읍종합관광안내센터,구급약품+수화물보관+휴대전화충전+와이파이,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,영어+일본어+중국어,063-536-6776,전라북도 정읍시 서부산업도로 301,전라북도 정읍시 연지동 343-60,전라북도 정읍시청,,35.5751356,126.8431547,2019-09-17,4690000,전라북도 정읍시
내장산관광안내소,내장산,전라북도,정읍시,내장산 관광안내소,구급약품+수화물보관+휴대전화충전+와이파이,연중무휴,9:00,18:00,9:00,17:00,2,Y,Y,Y,영어+일본어+중국어,063-537-1330,전라북도 정읍시 내장산로 938,전라북도 정읍시 내장동 63-3,전라북도 정읍시청,,35.4930526,126.9280082,2019-09-17,4690000,전라북도 정읍시
동래구 관광안내소,수안치안센터 1층,부산광역시,동래구,동래구 관광지 안내,,"토,일,동절기(11월~2월)휴무",9:00,18:00,9:00,18:00,1,Y,N,Y,,051-522-0303,부산광역시 동래구 명륜로112번길 46,,부산광역시 동래구,,35.203167,129.085395,2019-08-21,3300000,부산광역시 동래구
백암관광안내소,온정면 온천로 5,경상북도,울진군,백암온천 및 울진군 일대 안내,"pc사용, 출력",월,9:00,18:00,9:00,18:00,,N,N,N,N,054-789-5480,경상북도 울진군 온정면 온천로 5,경상북도 울진군 온정면 소태리 1453-1,경상북도 울진군청,www.uljin.go.kr,36.72079013,129.3439176,2019-09-25,5250000,경상북도 울진군
제1종합관광안내소,고성군 옥수휴게소 인근,경상남도,고성군,방문 관광객에게 관광 홍보물 배부 및 관광 안내,수하물보관,"일주일에 2일, 신정, 구정, 추석당일, 근로자의날, 부처님오신날, 성탄절",9:00,18:00,9:00,18:00,1,N,N,Y,,055-673-9503,경상남도 고성군 회화면 남해안대로 4071 (옥수휴게소 옆),경상남도 고성군 회화면 삼덕리 484-3,경상남도,http://www.gntour.com/html/kr/sub06/sub06_060201.html,35.0896824,128.3776688,2019-09-06,5420000,경상남도 고성군
수원역종합안내소,수원역종합안내소,경기도,수원시,종합관광안내소,"관광, 교통 정보 안내","신정,구정, 추석",9:00,18:00,9:00,18:00,3,Y,Y,N,영어+일어,031-228-4672,경기도 수원시 팔달구 덕영대로 924(매산로1가),경기도 수원시 팔달구 매산로 1가 18,수원문화재단,http://www.swcf.or.kr/,37.26567858,127.0000947,2019-07-19,3740000,경기도 수원시
수원터미널안내소,수원터미널안내소,경기도,수원시,간이 안내소,"관광, 교통 정보 안내","신정,구정, 추석",9:00,18:00,9:00,18:00,2,N,N,N,,031-267-7100,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189,수원문화재단,http://www.swcf.or.kr/,37.2503146,127.020884,2019-07-19,3740000,경기도 수원시
행궁안내소,행궁안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,2,N,N,N,,031-228-4480,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,수원문화재단,http://www.swcf.or.kr/,37.281781,127.0137047,2019-07-19,3740000,경기도 수원시
장안공원안내소,장안공원안내소,경기도,수원시,종합관광안내소,"관광, 교통 정보 안내","신정,구정, 추석",10:00,16:00,10:00,16:00,1,N,N,N,,031-207-6117,경기도 수원시 장안구 팔달로 238,경기도 수원시 장안구 영화동 349-26,수원문화재단,http://www.swcf.or.kr/,37.286899,127.0107744,2019-07-19,3740000,경기도 수원시
행궁광장 안내소,행궁광장 안내소,경기도,수원시,간이 안내소,"관광, 교통 정보 안내","신정,구정, 추석",9:00,18:00,9:00,18:00,2,Y,Y,N,영어+일어,031-241-2703,경기도 수원시 팔달구 정조로 825 (남창동),,수원문화재단,http://www.swcf.or.kr/,37.2817978,127.0137047,2019-07-19,3740000,경기도 수원시
장안문 안내소,장안문 안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,1,N,N,N,,031-251-4514,,경기도 수원시 팔달구 행궁동 1-1,수원문화재단,http://www.swcf.or.kr/,37.2879859,127.0134243,2019-07-19,3740000,경기도 수원시
연무대 안내소,연무대 안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,2,N,N,N,,031-228-2763,경기도 수원시 팔달구 창룡대로103번길 8,,수원문화재단,http://www.swcf.or.kr/,37.28786342,127.023623,2019-07-19,3740000,경기도 수원시
서장대 안내소,서장대 안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,2,N,N,N,,031-228-2764,경기도 수원시 팔달구 팔달산로 108,,수원문화재단,http://www.swcf.or.kr/,37.2777204,127.0104276,2019-07-19,3740000,경기도 수원시
팔달문 안내소,팔달문 안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,2,N,N,N,,031-228-2765,경기도 수원시 팔달구 정조로777번길 16,경기도 수원시 팔달구 남창동 148-8,수원문화재단,http://www.swcf.or.kr/,37.2775101,127.0153889,2019-07-19,3740000,경기도 수원시
화서문 안내소,화서문 안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,2,N,N,N,,031-207-7985,경기도 수원시 팔달구 화서문로 19(장안동),경기도 수원시 팔달구 장안동 322-18,수원문화재단,http://www.swcf.or.kr/,37.28523431,127.010398,2019-07-19,3740000,경기도 수원시
화홍문 안내소,화홍문 안내소,경기도,수원시,간이 안내소(해설사),문화해설안내,"신정,구정, 추석",10:00,17:00,10:00,17:00,2,N,N,N,,031-248-3541,경기도 수원시 팔달구 수원천로 377(북수동),,수원문화재단,http://www.swcf.or.kr/,37.287337,127.017159,2019-07-19,3740000,경기도 수원시
종합관광안내소,목포시 영산로 843,전라남도,목포시,,,"설, 추석 당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,061-270-8598,전라남도 목포시 영산로 843,전라남도 목포시 대양동 276,전라남도 목포시청,http://mokpo.go.kr/tour,34.838255,126.422269,2019-10-08,4800000,전라남도 목포시
목포역관광안내소,목포시 영산로 98,전라남도,목포시,,,"설, 추석 당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,061-270-8599,전라남도 목포시 영산로 98,전라남도 목포시 호남동 1-1,전라남도 목포시청,http://mokpo.go.kr/tour,34.79572442,126.3899933,2019-10-08,4800000,전라남도 목포시
노적봉관광안내소,목포시 유달로 122,전라남도,목포시,,,"설, 추석 당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,061-270-8411,전라남도 목포시 유달로 122,전라남도 목포시 측후동 5-17,전라남도 목포시청,http://mokpo.go.kr/tour,34.78880749,126.3811417,2019-10-08,4800000,전라남도 목포시
버스터미널관광안내소,목포시 영산로 525,전라남도,목포시,,,"설, 추석 당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,061-270-8501,전라남도 목포시 영산로 525,전라남도 목포시 상동 220,전라남도 목포시청,http://mokpo.go.kr/tour,34.81266274,126.4178212,2019-10-08,4800000,전라남도 목포시
평화광장관광안내소,목포시 평화로 64,전라남도,목포시,,,"설, 추석 당일",13:00,22:00,9:00,18:00,1,Y,Y,Y,,061-270-8383,전라남도 목포시 평화로 64,전라남도 목포시 상동 1175,전라남도 목포시청,http://mokpo.go.kr/tour,34.79587452,126.4321925,2019-10-08,4800000,전라남도 목포시
목포대교 관광안내소,목포시 북항로 176,전라남도,목포시,,,"설, 추석 당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,061-270-8593,전라남도 목포시 북항로 176,전라남도 목포시 죽교동 620-225,전라남도 목포시청,http://mokpo.go.kr/tour,34.80403636,126.3669088,2019-10-08,4800000,전라남도 목포시
예산군 관광안내소,덕산온천관광단지,충청남도,예산군,예산군 관광에 대한 전반적인 자료와 안내를 받을 수 있습니다.,야외족욕장 운영,명절 당일,9:00,18:00,9:00,18:00,2,N,N,N,한국어,041-339-8930,충청남도 예산군 덕산면 온천단지2로 11,충청남도 예산군 덕산면 신평리 513,예산군,http://tour.yesan.go.kr/tour/sub04_06_01.do,36.6906918,126.6593928,2019-06-21,4610000,충청남도 예산군
당진관광안내소,당진버스터미널 내,충청남도,당진시,"""당진시 문화관광지 안내와 시설안내 정보, 셔틀버스 등의 정보를 제공합니다.""","""핸드폰 충전, 식수 제공""",연중무휴,10:00,17:00,10:00,17:00,1,,,,,041-358-3357,충청남도 당진시 밤절로 149,충청남도 당진시 수청동 979,충청남도 당진시청,http://tour.dangjin.go.kr,36.902938,126.645693,2018-08-28,5680000,충청남도 당진시
솔뫼성지,솔뫼성지 내,충청남도,당진시,"""솔뫼성지 문화관광안내 및 해설, 주변관광지, 내포천주교 역사 등의 정보를 제공합니다.""","""핸드폰 충전, 식수 제공""",연중무휴,10:00,17:00,10:00,17:00,1,,,,,041-362-5021,충청남도 당진시 우강면 솔뫼로 132,충청남도 당진시 우강면 송산리 124,충청남도 당진시청,http://www.solmoe.or.kr,36.819209,126.785502,2018-08-28,5680000,충청남도 당진시
필경사,필경사 내,충청남도,당진시,"""필경사 및 심훈 문화관광안내 및 해설, 주변관광지, 한진/안섬 포구 등의 정보를 제공합니다.""","""핸드폰 충전, 식수 제공""","""월요일, 추석, 설날 당일""",10:00,17:00,10:00,17:00,1,,,,,041-360-6883,충청남도 당진시 송악읍 상록수길 97,충청남도 당진시 송악읍 부곡리 251-12,충청남도 당진시청,http://tour.dangjin.go.kr,36.952172,126.771421,2018-08-28,5680000,충청남도 당진시
도봉탐방지원센터,도봉산 입구,서울특별시,도봉구,도봉산 탐방 정보 안내 및 그린포인트 적립,,연중무휴,9:00,18:00,9:00,18:00,3,Y,Y,Y,,02-954-2565,서울특별시 도봉구 도봉산길 73,,서울특별시 도봉구청,,37.68651262,127.0376078,2019-09-30,3090000,서울특별시 도봉구
수성못 관광안내소,수성못 상화동산 동편 입구,대구광역시,수성구,수성못 관광안내 및 도서 대여 서비스(상화동산 북카페-안내소 內 위치)를 제공하고 있습니다.,핸드폰충전,연중무휴,10:00,19:00,12:00,18:00,2,N,N,N,N,053-761-0645,대구광역시 수성구 무학로 112,대구광역시 수성구 두산동 606-1,수성구청,없음,35.8292435,128.6209285,2019-06-14,3460000,대구광역시 수성구
대왕암공원 안내센터,대왕암공원 입구,울산광역시,동구,대왕암공원의 시설안내 정보 및 시내버스 등의 교통정보를 안내합니다.,"휴대폰충전,유모차,휠체어 대여",매주 월요일,9:30,17:30,9:30,17:30,2,N,N,N,N,052-209-3733,울산광역시 동구 등대로 95,울산광역시 동구 일산동 905,울산광역시 동구청,donggu.ulsan.kr,35.49041849,129.435245,2019-05-31,3710000,울산광역시 동구
여수공항 관광안내소,여수공항 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,1,N,N,N,,061-659-5699,전라남도 여수시 율촌면 여순로 386,전라남도 여수시 율촌면 신풍리 979,전라남도 여수시청,www.ystour.kr,34.839849,127.614125,2019-07-11,4810000,전라남도 여수시
여수엑스포역 종합관광안내소,여수엑스포역  광장,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,22:00,9:00,22:00,2,N,Y,N,,061-659-5696,전라남도 여수시 망양로 2 (덕충동),전라남도 여수시 덕충동 61-7,전라남도 여수시청,www.ystour.kr,34.7530955,127.7488924,2019-07-11,4810000,전라남도 여수시
여수연안여객선터미널 관광안내소,여수연안여객선터미널 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,1,N,Y,N,,061-659-5707,전라남도 여수시 여객선터미널길 17 (교동),전라남도 여수시 교동682-1,전라남도 여수시청,www.ystour.kr,34.7384465,127.7328526,2019-07-11,4810000,전라남도 여수시
여수관광통역안내소(외국어),여수관광통역안내소(외국어),전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,,061-664-8978,전라남도 여수시 오동도로 88 (수정동),전라남도 여수시 수정동315,한국여행업협회,www.ystour.kr,34.742474,127.7513042,2019-07-11,4810000,전라남도 여수시
오동도 관광안내소(입구),오동도 관광안내소,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,061-659-5708,전라남도 여수시 오동도로 222 (수정동),전라남도 여수시 수정동 1-2,전라남도 여수시청,www.ystour.kr,34.744343,127.7641302,2019-07-11,4810000,전라남도 여수시
향일암 관광안내소,향일암 진입로 입구,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,061-641-2111,전라남도 여수시 돌산읍 향일암로 68,전라남도 여수시 돌산읍 율림리 9-14,전라남도 여수시청,www.ystour.kr,34.594128,127.803855,2019-07-11,4810000,전라남도 여수시
이순신광장 관광안내소,이순신광장 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,22:00,9:00,22:00,2,N,N,N,,061-661-1746,전라남도 여수시 중앙로 72-16 (중앙동),전라남도 여수시 중앙동 775,전라남도 여수시청,www.ystour.kr,34.739709,127.735521,2019-07-11,4810000,전라남도 여수시
금오도 여천항 관광안내소,금오도 여천항 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,1,N,N,N,,061-000-0000,전라남도 여수시 남면 여천금이길 11-9,전라남도 여수시 남면 유송리 415-19,전라남도 여수시청,www.ystour.kr,34.550195,127.752696,2019-07-11,4810000,전라남도 여수시
선소관광안내소,선소유적지 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,9:00,18:00,9:00,18:00,1,N,N,N,,061-000-0000,전라남도 여수시 시전동 686-2,전라남도 여수시 시전동 686-2,전라남도 여수시청,www.ystour.kr,34.756171,127.662981,2019-07-11,4810000,전라남도 여수시
백야항관광안내소,백야항 입구,전라남도,여수시,여수관광 정보 제공,,월~금,9:00,18:00,9:00,18:00,1,N,N,N,,061-000-0000,전라남도 여수시 백야리 96-2,전라남도 여수시 백야리 96-2,전라남도 여수시청,www.ystour.kr,34.619165,127.639501,2019-07-11,4810000,전라남도 여수시
포천관광안내소,산정호수 하동주차장,경기도,포천시,,,월요일,9:00,18:00,9:00,18:00,1,N,N,N,,031-538-2472,경기도 포천시 영북면 산정호수로411번길 5,경기도 포천시 영북면 산정리 451-3,포천시청,http://tour.pcs21.net,38.0656685,127.3157222,2019-09-05,5600000,경기도 포천시
포천관광안내소,허브아일랜드 내,경기도,포천시,,유모차대여,연중무휴,10:00,21:00,10:00,21:00,2,N,N,Y,,070-4801-0351,경기도 포천시 신북면 청신로947번길 35,경기도 포천시 신북면 삼정리 517-2,포천시청,http://tour.pcs21.net,37.9653434,127.1316512,2019-09-05,5600000,경기도 포천시
웰컴센터 관광안내센터,제주웰컴센터 1층,제주특별자치도,제주시,"""제주도 관광을 예정하는 분들께 일정상담과 더불어 관광지운영시간, 교통편, 지역별 숙박장소, 기타 체험장소 안내 등 안내서비스를 제공합니다""",휠체어 대여 및 방문고객 관광홍보물 제공 등,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,-,064-740-6000,제주특별자치도 제주시 선덕로 23,제주특별자치도 제주시 연동 313-80,제주관광공사,ijto.or.kr/korean/,33.4858065,126.4994934,2018-10-15,B552701,제주관광공사
영덕관광안내소,신재생에너지 전시관 옆 건물,경상북도,영덕군,관광홍보물 배부 및 관내 관광지 안내,컴퓨터이용,설날 및 추석당일,9:00,17:00,9:00,16:00,3,N,Y,N,일본어,054-730-6651,경상북도 영덕군 영덕읍 해맞이길 254-20,경상북도 영덕군 영덕읍 창포리 329-3,경상북도 영덕군청,tour.yd.go.kr/,36.422692,129.4197162,2019-09-17,5180000,경상북도 영덕군
충남종합관광안내소,관광주차장 내,충청남도,부여군,충남을 대표하는 부여소재 종합관광안내소,백제문화체험,연중무휴,9:00,18:00,9:00,18:00,5,Y,Y,Y,,041-830-2880,충청남도 부여군 부여읍 성왕로 247-9,충청남도 부여군 부여읍 관북리 77,충청남도 부여군청,tour.buyeo.go.kr,36.28406899,126.9145318,2019-09-30,4570000,충청남도 부여군
인제관광정보센터,강원도 인제군 인제읍 비봉로 50,강원도,인제군,인제군 관광정보 제공,,"설, 추석 연휴",9:00,18:00,9:00,18:00,2,Y,Y,Y,,1588-6226,강원도 인제군 인제읍 비봉로 50,강원도 인제군 인제읍 상동리 430,강원도 인제군청,www.tour.inje.go.kr,38.064827,128.1744218,2019-09-03,4330000,강원도 인제군
백담관광정보센터,강원도 인제군 북면 백담로 96,강원도,인제군,인제군 관광정보 제공,,월요일,9:00,18:00,9:00,18:00,2,Y,,Y,,033-463-6644,강원도 인제군 북면 백담로 96,강원도 인제군 북면 용대리 888,강원도 인제군청,www.tour.inje.go.kr,38.1932699,128.3522908,2019-09-03,4330000,강원도 인제군
불광 둘레길 관광안내소,북한산생태공원 입구,서울특별시,은평구,"북한산 둘레길 은평구(7~10구간) 안내소, 주말 운영종료시각 16:00",교통편 및 인근 상가 안내,"설날, 추석",8:00,11:00,8:00,11:00,2,N,N,N,,02-351-6505,,"서울특별시 은평구 불광동 산42-5, 북한산생태공원 입구 인근",서울특별시 은평구청,,37.610723,126.939272,2019-07-01,3110000,서울특별시 은평구
구파발 둘레길 관광안내소,구파발역 2번출구 인근,서울특별시,은평구,"북한산 둘레길 은평구(7~10구간) 안내소, 주말 운영종료시각 16:00",교통편 및 인근 상가 안내,"설날, 추석",8:00,11:00,8:00,11:00,2,N,N,N,,02-351-6505,"서울특별시 은평구 진관2로, 구파발역 2번 출구 인근","서울특별시 은평구 진관동 86-31, 구파발역 2번 출구 인근",서울특별시 은평구청,,37.636749,126.919151,2019-07-01,3110000,서울특별시 은평구
북한산성 둘레길 관광안내소,북한산성입구 버스정류장 인근,서울특별시,은평구,"북한산 둘레길 은평구(7~10구간) 안내소, 주말 운영종료시각 16:00",교통편 및 인근 상가 안내,"설날, 추석",8:00,11:00,8:00,11:00,2,N,N,N,,02-351-6505,,"서울특별시 은평구 진관동 288, 북한산성입구 버스 정류장 인근",서울특별시 은평구청,,37.65825,126.945533,2019-07-01,3110000,서울특별시 은평구
미륵사지,미륵사지주차장옆,전라북도,익산시,"관광정보,안내",휠체어 대여,월,9:00,18:00,9:00,18:00,5,,Y,,,063-859-3873,전라북도 익산시 금마면미륵사지로362,,전라북도 익산시청,,36.0108304,127.0282197,2019-09-12,4680000,전라북도 익산시
왕궁유적,유물전시관내,전라북도,익산시,"관광정보,안내",휠체어 대여,월,9:00,18:00,9:00,18:00,5,,Y,,,063-859-4799,전라북도 익산시 왕궁면 궁성로 666,,전라북도 익산시청,,35.9713015,127.0550935,2019-09-12,4680000,전라북도 익산시
보석박물관,박물관입구,전라북도,익산시,"관광정보,안내",휠체어 대여,월,9:00,18:00,9:00,18:00,5,,Y,,,063-859-4645,전라북도 익산시 왕궁면 호반로 8,,전라북도 익산시청,,35.9903918,127.1014677,2019-09-12,4680000,전라북도 익산시
익산역,여행센터내,전라북도,익산시,"관광정보,안내",,"토,일,공휴일",9:00,18:00,9:00,18:00,1,,,Y,,063-859-3825,전라북도 익산시 익산대로 153,,전라북도 익산시청,,35.9406663,126.945799,2019-09-12,4680000,전라북도 익산시
두타연이목정관광안내소,강원도 양구군 방산면 고방산리 1024,강원도,양구군,금강산가는길 두타연이목정안내 및 매표,,매주월요일(공휴일일경우근무),9:00,17:00,9:00,15:00,0,N,Y,N,일본어,033-482-8449,,강원도 양구군 방산면 고방산리 1024,문화관광과,http://www.ygtour.kr/,38.24625362,127.9818171,2019-06-12,4320000,강원도 양구군
영암군 관광안내소,삼호읍,전라남도,영암군,삼호대교에 위치한 관광안내소로 방문객에 영암 및 전남 관광 정보 제공,휴대폰 충전 서비스,연중 무휴(명절 제외),10:00,18:00,10:00,18:00,2,N,Y,Y,"일본어, 중국어",061-470-2427,전라남도 영암군 삼호읍 녹색로 592,전라남도 영암군 삼호읍 나불리 552,영암군,,34.7787701,126.4525173,2019-06-19,4940000,전라남도 영암군
구례군관광안내소,지리산온천관광지,전라남도,구례군,구례군 관광안내소,,없음,9:00,17:00,9:00,17:00,1,N,Y,Y,,061-780-2450,전라남도 구례군 산동면 지리산온천로 230,전라남도 구례군 산동면 탑정리 394,구례군,,35.315688,127.4540568,2019-06-26,4870000,전라남도 구례군
화엄사관광안내소,화엄사,전라남도,구례군,화엄사 관광안내소,,없음,9:00,17:00,9:00,17:00,1,N,Y,Y,,061-780-2450,전라남도 구례군 마산면 화엄사로 539,전라남도 구례군 마산면 황전리 12,구례군,,35.2565553,127.497194,2019-06-26,4870000,전라남도 구례군
송파관광정보센터,"석촌호수 동호, 롯데월드타워 앞",서울특별시,송파구,송파를 찾는 국내외 관광객들에게 관광정보를 제공합니다.,크로마키존 사진촬영+한성백제의상체험+송파사랑의 우체통·자물쇠트리 운영+관광기념품 판매+핸드폰충전,"설, 추석 명절 당일",10:00,19:00,10:00,18:00,4,Y,Y,Y,러시아러,02-421-0970,서울특별시 송파구 잠실로 180,서울특별시 송파구 신천동 32,서울특별시 송파구청,http://songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&c=1001&cate_id=AM0407000000_2_,37.5117343,127.1042194,2019-05-31,3230000,서울특별시 송파구
오목대 관광안내소,태조로쉼터 앞,전라북도,전주시,,"수유실, 유실물보관, 휠체어 대어",연중무휴,9:00,18:00,9:00,18:00,3,Y,Y,Y,,063-282-1335,전라북도 전주시 완산구 태조로 6,전라북도 전주시 완산구 풍남동3가 15-11,전라북도 전주시청,http://tour.jeonju.go.kr/,35.8151453,127.1539349,2019-05-31,4640000,전라북도 전주시
경기전 관광안내소,경기전 앞,전라북도,전주시,,"여행지도 우편발송, 해설투어",연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,N,스페인어,063-287-1330,전라북도 전주시 완산구 태조로 44,전라북도 전주시 완산구 풍남동3가 102,전라북도 전주시청,http://tour.jeonju.go.kr/,35.8153146,127.1497569,2019-05-31,4640000,전라북도 전주시
