"업종명","업소명","소재지(도로명)","소재지(지번)","영업장면적","소재지전화","업태명","데이터기준일자"
"일반음식점","광양이조","제주특별자치도 제주시 동광로2길 11 (이도이동)","제주특별자치도 제주시 이도이동 1176번지 36호  ","33","064-755-4408","한식","2018-05-02"
"일반음식점","사이슈","제주특별자치도 제주시 수덕9길 81-3. 1층 (노형동)","제주특별자치도 제주시 노형동 2592번지 4호  ","61.21","064-746-2480","한식","2018-05-02"
"일반음식점","신제주우리집","제주특별자치도 제주시 연동13길 9 (연동.(은남2로13))","제주특별자치도 제주시 연동 292번지 36호 (은남2로13)","45","064-742-3164","한식","2018-05-02"
"일반음식점","연정","제주특별자치도 제주시 신광로10길 29 (연동)","제주특별자치도 제주시 연동 256번지  ","101.67","064-747-3959","한식","2018-05-02"
"일반음식점","산천단토종닭","제주특별자치도 제주시 516로 3041-24 (아라일동)","제주특별자치도 제주시 아라일동 375번지 1호  ","20","064-702-1582","한식","2018-05-02"
"일반음식점","부가부가부가네얼큰이신산점","제주특별자치도 제주시 신산로 49-1 (일도이동.(신산로122))","제주특별자치도 제주시 일도이동 1019번지 20호 (신산로122)","37.13","064-755-3884","한식","2018-05-02"
"일반음식점","초가장","제주특별자치도 제주시 서부두길 16 (건입동)","제주특별자치도 제주시 건입동 1319번지 31호 . 1319-32번지","227","064-758-1333","회집","2018-05-02"
"일반음식점","용진","제주특별자치도 제주시 남성로 8 (용담일동)","제주특별자치도 제주시 용담일동 2824번지 3호  ","26","064-752-6666","한식","2018-05-02"
"일반음식점","신설오름","제주특별자치도 제주시 고마로17길 2 (일도이동)","제주특별자치도 제주시 일도이동 409번지 5호  ","146.22","064-758-0143","한식","2018-05-02"
"일반음식점","아서원","제주특별자치도 제주시 서사로6길 2. 1층 (삼도일동)","제주특별자치도 제주시 삼도일동 804번지 5호 (충효1로6)","46.2","064-722-5883","중국식","2018-05-02"
"일반음식점","웰빙초원","제주특별자치도 제주시 신산로15길 4 (일도이동.(인화초등길6))","제주특별자치도 제주시 일도이동 362번지 5호 (인화초등길6)","104.9","064-755-6459","한식","2018-05-02"
"일반음식점","강남","제주특별자치도 제주시 동광로1길 32 (이도일동.(27.28호)(광양초등길58))","제주특별자치도 제주시 이도일동 1289번지 5호 (27.28호)(광양초등길58)","29.24","064-757-1049","한식","2018-05-02"
"일반음식점","일도왕서방","제주특별자치도 제주시 태성로3길 8-1. 1층 (일도이동)","제주특별자치도 제주시 일도이동 86번지 5호  ","37.37","064-725-1351","중국식","2018-05-02"
"일반음식점","소방서구내","제주특별자치도 제주시 중앙로 342 (이도이동)","제주특별자치도 제주시 이도이동 799번지 2호  ","263.86","064-742-6462","한식","2018-05-02"
"일반음식점","센트럴호텔구내","제주특별자치도 제주시 사장1길 30 (연동)","제주특별자치도 제주시 연동 284번지 45호  ","30.25","064-748-2511","한식","2018-05-02"
"일반음식점","두루두루","제주특별자치도 제주시 삼무로3길 14 (연동.(성두5로22))","제주특별자치도 제주시 연동 291번지 10호 (성두5로22)","48","064-744-9717","한식","2018-05-02"
"일반음식점","요메기섬","제주특별자치도 제주시 도두항길 10 (도두일동)","제주특별자치도 제주시 도두일동 2605번지 2호  ","127.72","064-794-5139","식육(숯불구이)","2018-05-02"
"일반음식점","동강","제주특별자치도 제주시 신성로10길 37 (이도이동.목성빌라101(재석사로51))","제주특별자치도 제주시 이도이동 1021번지 1호 목성빌라101(재석사로51)","67.4","064-758-5404","한식","2018-05-02"
"일반음식점","경주네횟집","제주특별자치도 제주시 연동6길 28 (연동)","제주특별자치도 제주시 연동 265번지 3호  ","80","064-742-9373","회집","2018-05-02"
"일반음식점","에바다","제주특별자치도 제주시 관덕로8길 8 (삼도이동.(남문로20))","제주특별자치도 제주시 삼도이동 104번지 2호 (남문로20)","22.8",,"한식","2018-05-02"
"일반음식점","용두성","제주특별자치도 제주시 용두암길 18 (용담이동.(용두암공원길18))","제주특별자치도 제주시 용담이동 481번지 52호 (용두암공원길18)","176.12","064-744-1758","한식","2018-05-02"
"일반음식점","마산초원아구찜2호점","제주특별자치도 제주시 삼무로3길 46 (연동)","제주특별자치도 제주시 연동 271번지 30호  ","92.72","064-742-3337","한식","2018-05-02"
"일반음식점","빅스","제주특별자치도 제주시 도남로 39 (도남동)","제주특별자치도 제주시 도남동 918번지 2호  ","42","064-723-9484","까페","2018-05-02"
"일반음식점","원이조","제주특별자치도 제주시 전농로 70 (삼도일동.(전농로77))","제주특별자치도 제주시 삼도일동 540번지 (전농로77)","53.7","064-757-2306","한식","2018-05-02"
"일반음식점","대일","제주특별자치도 제주시 서광로32길 24 (이도이동)","제주특별자치도 제주시 이도이동 1766번지 8호  ","69","064-721-8889","일식","2018-05-02"
"일반음식점","군산소문난해물칼국수","제주특별자치도 제주시 가령로1길 25 (이도이동)",,"133.14","064-727-6622","한식","2018-05-02"
"일반음식점","남북통일","제주특별자치도 제주시 서사로 180 (오라일동)","제주특별자치도 제주시 오라일동 2451번지 4호  ","143.91","064-757-0772","한식","2018-05-02"
"일반음식점","진이","제주특별자치도 제주시 516로 3109 (아라일동.(516도로49))","제주특별자치도 제주시 아라일동 395번지 3호 (516도로49)","64","064-702-0214","한식","2018-05-02"
"일반음식점","금성해장국","제주특별자치도 제주시 화남로 62 (화북일동)","제주특별자치도 제주시 화북일동 2152번지 11호  ","100.51","064-756-2537","한식","2018-05-02"
"일반음식점","쎌빠연동점","제주특별자치도 제주시 신대로14길 50. 2층 (연동)","제주특별자치도 제주시 연동 272번지 38호  ","80","064-747-7827","호프/통닭","2018-05-02"
"일반음식점","천금","제주특별자치도 제주시 북성로 7. 1층 (삼도이동)","제주특별자치도 제주시 삼도이동 20번지 5호  ","66.4","064-722-3174","중국식","2018-05-02"
"일반음식점","아일랜드스톤","제주특별자치도 제주시 신성로13길 15 (이도이동)","제주특별자치도 제주시 이도이동 1768번지 29호  ","64","064-753-6042","호프/통닭","2018-05-02"
"일반음식점","참맛나흑돼지","제주특별자치도 제주시 신대로8길 29 (연동)","제주특별자치도 제주시 연동 291번지 50호  ","65.25","064-747-5505","식육(숯불구이)","2018-05-02"
"일반음식점","유썬앤","제주특별자치도 제주시 서문로 24-2 (용담일동)","제주특별자치도 제주시 용담일동 231번지 3호  ","72","064-702-8483","호프/통닭","2018-05-02"
"일반음식점","미미네밥상","제주특별자치도 제주시 남성로 44 (용담일동)","제주특별자치도 제주시 용담일동 2814번지 3호  ","20.8","064-725-4567","한식","2018-05-02"
"일반음식점","대우정","제주특별자치도 제주시 서사로 152 (삼도일동.(서사로216))","제주특별자치도 제주시 삼도일동 569번지 27호 (서사로216)","132","064-757-9662","한식","2018-05-02"
"일반음식점","오솔길","제주특별자치도 제주시 임항로 264 (건입동)","제주특별자치도 제주시 건입동 1037번지 4호  ","76.23","064-758-3663","한식","2018-05-02"
"일반음식점","청향","제주특별자치도 제주시 중앙로 265. 5층 (이도이동)","제주특별자치도 제주시 이도이동 1034번지 4호  ","395.2","064-747-3478","한식","2018-05-02"
"일반음식점","뱃머리","제주특별자치도 제주시 임항로 43 (건입동)","제주특별자치도 제주시 건입동 1319번지 4호  ","48","064-755-7158","한식","2018-05-02"
"일반음식점","사랑식당","제주특별자치도 제주시 한경면 두신로 46","제주특별자치도 제주시 한경면 신창리 460번지 2호  ","72.86","064-772-3752","한식","2018-05-02"
"일반음식점","옹포별장가든","제주특별자치도 제주시 한림읍 한림상로 24","제주특별자치도 제주시 한림읍 옹포리 314번지 2호  ","82.49","064-796-3146","한식","2018-05-02"
"일반음식점","구이사이",,"제주특별자치도 제주시 애월읍 신엄리 1252번지 4호  ","114.3","064-799-5777","한식","2018-05-02"
"일반음식점","제주함덕저팔계깡통연탄구이","제주특별자치도 제주시 조천읍 신북로 531","제주특별자치도 제주시 조천읍 함덕리 1271번지  ","41.76","064-783-1950","식육(숯불구이)","2018-05-02"
"일반음식점","호돌이식당",,"제주특별자치도 제주시 한림읍 협재리 3025번지  ","41.38","064-796-8475","한식","2018-05-02"
"일반음식점","유연","제주특별자치도 제주시 한경면 녹차분재로 685-21","제주특별자치도 제주시 한경면 저지리 1525번지 1호  ","320.2","064-772-3701","한식","2018-05-02"
"일반음식점","한경으뜸","제주특별자치도 제주시 한경면 두모1길 1","제주특별자치도 제주시 한경면 신창리 272번지 1호  ","124.99","064-772-2731","한식","2018-05-02"
"일반음식점","황원가든","제주특별자치도 제주시 구좌읍 김녕로 129","제주특별자치도 제주시 구좌읍 김녕리 1667번지 7호  ","79.86","064-782-7773","한식","2018-05-02"
"일반음식점","동천숫불갈비","제주특별자치도 제주시 조천읍 신북로 201","제주특별자치도 제주시 조천읍 조천리 3134번지  ","47.08","064-782-6161","한식","2018-05-02"
"일반음식점","만민식당","제주특별자치도 제주시 한림읍 한림중앙로 53. 1층","제주특별자치도 제주시 한림읍 한림리 932번지 6호  ","160.85","064-796-4473","한식","2018-05-02"
"일반음식점","똥파리와봉달이네연탄구이한림점","제주특별자치도 제주시 한림읍 한림로 687","제주특별자치도 제주시 한림읍 한림리 1314번지 2호  ","37.52","064-796-6943","한식","2018-05-02"
"일반음식점","고바우해장국","제주특별자치도 제주시 애월읍 애월로14길 3. 1층","제주특별자치도 제주시 애월읍 애월리 1665번지 4호  ","30.1","064-799-9922","한식","2018-05-02"
"일반음식점","푸른목장","제주특별자치도 제주시 정존5길 4. 1층 (노형동)","제주특별자치도 제주시 노형동 2535번지 5호  ","60","064-747-2538","한식","2018-05-02"
"일반음식점","화남가든","제주특별자치도 제주시 노형로 44 (해안동)","제주특별자치도 제주시 해안동 2352번지  ","141.62","064-746-8152","식육(숯불구이)","2018-05-02"
"일반음식점","진국수","제주특별자치도 제주시 고마로 57 (일도이동)","제주특별자치도 제주시 일도이동 329번지 30호  ","30","064-753-3080","한식","2018-05-02"
"일반음식점","대관령","제주특별자치도 제주시 신대로16길 56 (연동.(연중6로5))","제주특별자치도 제주시 연동 273번지 10호 (연중6로5)","55","064-749-3636","한식","2018-05-02"
"일반음식점","두다리","제주특별자치도 제주시 남성로 101. 1층 (용담일동)","제주특별자치도 제주시 용담일동 235번지 3호  ","24.13","064-756-9324","호프/통닭","2018-05-02"
"일반음식점","신제주엄지","제주특별자치도 제주시 신광로 28 (연동)","제주특별자치도 제주시 연동 261번지 1호  ","29.6","064-746-2795","한식","2018-05-02"
"일반음식점","새둥지","제주특별자치도 제주시 동광로4길 11 (이도이동)","제주특별자치도 제주시 이도이동 1176번지 41호  ","73","064-753-4868","한식","2018-05-02"
"일반음식점","보말","제주특별자치도 제주시 동문로10길 5 (일도일동.(동선2로7))","제주특별자치도 제주시 일도일동 1066번지 (동선2로7)","36.3","064-757-7617","한식","2018-05-02"
"일반음식점","오동도","제주특별자치도 제주시 중앙로1길 18 (건입동)","제주특별자치도 제주시 건입동 1394번지  ","65.1","064-753-7155","한식","2018-05-02"
"일반음식점","순정문어","제주특별자치도 제주시 서해안로 579. 1층 (용담삼동)","제주특별자치도 제주시 용담삼동 1092번지 2호  ","110","064-746-6656","한식","2018-05-02"
"일반음식점","스페샬연동점","제주특별자치도 제주시 신대로14길 42 (연동)","제주특별자치도 제주시 연동 282번지 40호  ","24.9","064-744-5792","호프/통닭","2018-05-02"
"일반음식점","보경","제주특별자치도 제주시 흥운길 18 (용담이동.(용운로38))","제주특별자치도 제주시 용담이동 358번지 23호 (용운로38)","101","064-712-4321","식육(숯불구이)","2018-05-02"
"일반음식점","초가","제주특별자치도 제주시 남성로 142 (삼도이동)","제주특별자치도 제주시 삼도이동 801번지 1호  ","20","064-752-9482","호프/통닭","2018-05-02"
"일반음식점","노형골","제주특별자치도 제주시 원노형남1길 24. 1층 (노형동)","제주특별자치도 제주시 노형동 934번지  ","125.21",,"한식","2018-05-02"
"일반음식점","김밥천국","제주특별자치도 제주시 신광로 47 (연동)","제주특별자치도 제주시 연동 273번지 1호  ","56.25","064-747-5550","김밥(도시락)","2018-05-02"
"일반음식점","초우","제주특별자치도 제주시 신산로 75-1 (일도이동.(신산로64))","제주특별자치도 제주시 일도이동 168번지 26호 (신산로64)","51.75","064-758-0642","한식","2018-05-02"
"일반음식점","아구명물아구찜","제주특별자치도 제주시 신선길 23 (일도이동.(신선2로8))","제주특별자치도 제주시 일도이동 1028번지 19호 (신선2로8)","22.05","064-752-4596","한식","2018-05-02"
"일반음식점","천하육회","제주특별자치도 제주시 연동7길 26 (연동)","제주특별자치도 제주시 연동 273번지 4호  ","50","064-744-4884","식육(숯불구이)","2018-05-02"
"일반음식점","동산고을","제주특별자치도 제주시 신대로20길 42 (연동)","제주특별자치도 제주시 연동 285번지 1호  ","56.42","064-742-5792","한식","2018-05-02"
"일반음식점","스크류쿨제원점","제주특별자치도 제주시 신광로 44-1. 2층 (연동)","제주특별자치도 제주시 연동 261번지 19호  ","149",,"호프/통닭","2018-05-02"
"일반음식점","또미","제주특별자치도 제주시 동광로 153-2 (일도이동.(인화1로46))","제주특별자치도 제주시 일도이동 356번지 5호 (인화1로46)","17","064-751-0617","한식","2018-05-02"
"일반음식점","일박이일","제주특별자치도 제주시 신대로16길 38. 1층 (연동)","제주특별자치도 제주시 연동 283번지 10호  ","105.55","064-901-7821","호프/통닭","2018-05-02"
"일반음식점","풍촌","제주특별자치도 제주시 은남2길 28. 1층 (연동)","제주특별자치도 제주시 연동 282번지 30호  ","145","064-747-3234","한식","2018-05-02"
"일반음식점","일우",,"제주특별자치도 제주시 외도일동 399번지 1호  ","21","064-743-1442","한식","2018-05-02"
"일반음식점","제원목포세발낙지","제주특별자치도 제주시 제원길 16 (연동)","제주특별자치도 제주시 연동 261번지 60호  ","29","064-749-7997","한식","2018-05-02"
"일반음식점","옛고을","제주특별자치도 제주시 연삼로 539 (일도이동.(연삼로587))","제주특별자치도 제주시 일도이동 62번지 5호 (연삼로587)","29.5","064-722-8962","한식","2018-05-02"
"일반음식점","돌하르방","제주특별자치도 제주시 신산로11길 53. 1층 (일도이동)","제주특별자치도 제주시 일도이동 320번지 14호  ","32","064-752-7580","한식","2018-05-02"
"일반음식점","삼주","제주특별자치도 제주시 천수로 56. 108동 103호 (일도이동. 일도삼주아파트)","제주특별자치도 제주시 일도이동 47번지 일도삼주아파트 108동 103호","48","064-751-1641","한식","2018-05-02"
"일반음식점","대궁","제주특별자치도 제주시 임항로 264-1 (건입동)","제주특별자치도 제주시 건입동 1037번지 5호  ","102.57","064-722-9930","한식","2018-05-02"
"일반음식점","남다른대구막창제주시청점","제주특별자치도 제주시 신성로13길 9 (이도이동)","제주특별자치도 제주시 이도이동 1772번지 13호  ","76","064-722-9850","호프/통닭","2018-05-02"
"일반음식점","아지트","제주특별자치도 제주시 동문로14길 13 (일도이동.(구중1로23))","제주특별자치도 제주시 일도이동 1006번지 53호 (구중1로23)","20","064-755-7663","호프/통닭","2018-05-02"
"일반음식점","미니","제주특별자치도 제주시 신산로11길 6 (일도이동.(신산2로10))","제주특별자치도 제주시 일도이동 338번지 24호 (신산2로10)","14","064-722-0990","기타","2018-05-02"
"일반음식점","탑동전주","제주특별자치도 제주시 탑동로 27 (삼도이동)","제주특별자치도 제주시 삼도이동 1192번지 13호  ","121","064-752-9252","회집","2018-05-02"
"일반음식점","집밥선생하하","제주특별자치도 제주시 문송길 41 (연동)","제주특별자치도 제주시 연동 313번지 43호  ","157","064-749-0789","한식","2018-05-02"
"일반음식점","그린푸드","제주특별자치도 제주시 서광로 163 (용담일동.(서광로220))","제주특별자치도 제주시 용담일동 2827번지 14호 (서광로220)","302","064-722-9885","뷔페식","2018-05-02"
"일반음식점","에메랄드호텔구내",,"제주특별자치도 제주시 삼도이동 935번지 .936(북음길47)","88","064-751-0071","기타","2018-05-02"
"일반음식점","뉴에메랄드","제주특별자치도 제주시 중앙로12길 37 (삼도이동)","제주특별자치도 제주시 삼도이동 907번지 6호  ","141","064-751-0071","한식","2018-05-02"
"일반음식점","산지물신제주점","제주특별자치도 제주시 신대로10길 53 (연동)","제주특별자치도 제주시 연동 271번지 9호  ","288.9","064-745-5799","한식","2018-05-02"
"일반음식점","목포홍탁집","제주특별자치도 제주시 신대로10길 32 (연동.(성두4로46))","제주특별자치도 제주시 연동 281번지 7호 (성두4로46)","32","064-747-3812","한식","2018-05-02"
"일반음식점","승원","제주특별자치도 제주시 진남로4길 24-1 (화북일동.(화북공원길56))","제주특별자치도 제주시 화북일동 1951번지 (화북공원길56)","45","064-757-8059","한식","2018-05-02"
"일반음식점","한푼리","제주특별자치도 제주시 광양14길 18. 1층 (이도이동)","제주특별자치도 제주시 이도이동 1765번지 12호  ","110.38","064-721-2231","회집","2018-05-02"
"일반음식점","뉴코리아나호텔구내","제주특별자치도 제주시 은남길 37. 지하1층 (연동)","제주특별자치도 제주시 연동 303번지 12호  ","145","064-744-4333","한식","2018-05-02"
"일반음식점","큰언니","제주특별자치도 제주시 삼성로 67 (일도이동.(삼성로85))","제주특별자치도 제주시 일도이동 1034번지 10호 (삼성로85)","22","064-753-2238","한식","2018-05-02"
"일반음식점","노란집","제주특별자치도 제주시 고마로5길 24-14 (일도이동.(행운로16))","제주특별자치도 제주시 일도이동 158번지 13호 (행운로16)","66","064-721-1182","한식","2018-05-02"
"일반음식점","아이웰호텔썬랜드구내식당","제주특별자치도 제주시 신광로 지하 92 (연동)","제주특별자치도 제주시 연동 269번지 1호  ","175","064-744-1601","한식","2018-05-02"
"일반음식점","풍전참치","제주특별자치도 제주시 신대로20길 49 (연동)","제주특별자치도 제주시 연동 277번지 2호  ","102","064-743-8881","한식","2018-05-02"
"일반음식점","유리네","제주특별자치도 제주시 연북로 146 (연동)","제주특별자치도 제주시 연동 427번지 1호  ","316.16","064-748-0890","한식","2018-05-02"
"일반음식점","수월식당","제주특별자치도 제주시 한경면 고산로 32","제주특별자치도 제주시 한경면 고산리 2207번지 2호 (1층)","79.26","064-772-3551","한식","2018-05-02"
"일반음식점","한일식당","제주특별자치도 제주시 애월읍 납읍남로 48","제주특별자치도 제주시 애월읍 납읍리 2468번지 1호  ","162.12","064-799-3191","한식","2018-05-02"
"일반음식점","은성","제주특별자치도 제주시 애월읍 하귀로23길 1","제주특별자치도 제주시 애월읍 하귀2리 1884번지 3호  ","20.7","064-799-2491","한식","2018-05-02"
"일반음식점","전망대횟집","제주특별자치도 제주시 한림읍 한림해안로 229-14","제주특별자치도 제주시 한림읍 한수리 914번지 9호  ","30.8","064-796-7308","회집","2018-05-02"
"일반음식점","페리카나 애월체인점","제주특별자치도 제주시 애월읍 애월로 117","제주특별자치도 제주시 애월읍 애월리 1717번지 6호  ","23.01","064-799-4482","한식","2018-05-02"
"일반음식점","동귀어촌횟집","제주특별자치도 제주시 애월읍 하귀12길 21-4","제주특별자치도 제주시 애월읍 하귀1리 1624번지 1호  ","73.16","064-799-2979","한식","2018-05-02"
"일반음식점","종달해녀의집","제주특별자치도 제주시 구좌읍 해맞이해안로 2276","제주특별자치도 제주시 구좌읍 종달리 478번지 14호 (1층)","175.94",,"회집","2018-05-02"
"일반음식점","하도솔발장어식당",,"제주특별자치도 제주시 구좌읍 하도리 산 30번지  ","59","064-782-1311","한식","2018-05-02"
"일반음식점","우도우돈","제주특별자치도 제주시 우도면 우도로 188","제주특별자치도 제주시 우도면 연평리 1341번지 3호  ","69.73","064-784-2992","한식","2018-05-02"
"일반음식점","만리장성",,"제주특별자치도 제주시 구좌읍 세화리 1456번지 5호  ","67.1","064-783-2666","중국식","2018-05-02"
"일반음식점","미온당","제주특별자치도 제주시 한경면 중산간서로 3594","제주특별자치도 제주시 한경면 저지리 1519번지 6호  ","35.84","064-772-4451","한식","2018-05-02"
"일반음식점","카멜레온","제주특별자치도 제주시 도남로 39 (도남동)","제주특별자치도 제주시 도남동 918번지 2호  ","25.99","064-721-3236","까페","2018-05-02"
"일반음식점","신춘하추동","제주특별자치도 제주시 광양7길 14. 1층 (이도이동)","제주특별자치도 제주시 이도이동 1176번지 27호  ","145.63","064-755-0550","한식","2018-05-02"
"일반음식점","아자리아","제주특별자치도 제주시 노연로 80 (연동)","제주특별자치도 제주시 연동 263번지 15호  ","815.65","064-747-5020","한식","2018-05-02"
"일반음식점","들물갈비","제주특별자치도 제주시 임항로 272-1 (건입동)","제주특별자치도 제주시 건입동 1038번지 20호  ","71","064-755-5356","한식","2018-05-02"
"일반음식점","불덕꼬치구이","제주특별자치도 제주시 도남로 39 (도남동)","제주특별자치도 제주시 도남동 918번지 2호  ","34.1",,"호프/통닭","2018-05-02"
"일반음식점","신양수산","제주특별자치도 제주시 남녕로 23 (노형동.(남성로31))","제주특별자치도 제주시 노형동 1273번지 8호 (남성로31)","33.8","064-746-5552","한식","2018-05-02"
"일반음식점","명동손","제주특별자치도 제주시 중앙로15길 5 (이도일동.(영곡로5))","제주특별자치도 제주시 이도일동 1421번지 20호 (영곡로5)","30.5","064-721-3122","한식","2018-05-02"
"일반음식점","코지","제주특별자치도 제주시 임항로 44 (건입동)","제주특별자치도 제주시 건입동 1319번지 5호  ","29.87","064-721-4777","한식","2018-05-02"
"일반음식점","청일","제주특별자치도 제주시 월랑로12길 29 (노형동)","제주특별자치도 제주시 노형동 1037번지 17호  ","40.2","064-747-5400","한식","2018-05-02"
"일반음식점","진행수산","제주특별자치도 제주시 신성로7길 20 (도남동)","제주특별자치도 제주시 도남동 922번지 29호  ","137.5","064-722-5561","회집","2018-05-02"
"일반음식점","백록마당",,"제주특별자치도 제주시 도남동 61번지 1호 효신빌라 101호","121.76","064-721-5282","한식","2018-05-02"
"일반음식점","신해조","제주특별자치도 제주시 임항로 38-4 (건입동)","제주특별자치도 제주시 건입동 1325번지  ","48.36","064-722-3338","한식","2018-05-02"
"일반음식점","사랑","제주특별자치도 제주시 동문로4길 12 (일도일동)","제주특별자치도 제주시 일도일동 1144번지 12호  ","14.5","064-757-5058","한식","2018-05-02"
"일반음식점","큰들물식당","제주특별자치도 제주시 신산로 32 (일도이동)","제주특별자치도 제주시 일도이동 1030번지 8호  ","25.15","064-721-4623","한식","2018-05-02"
"일반음식점","삼조삼계탕","제주특별자치도 제주시 서광로13길 12. 1층 (삼도일동)","제주특별자치도 제주시 삼도일동 521번지 16호  ","39.56","064-752-6388","식육(숯불구이)","2018-05-02"
"일반음식점","궁중삼계탕","제주특별자치도 제주시 광양8길 15-17 (이도이동)","제주특별자치도 제주시 이도이동 1778번지 11호  ","63.53","064-755-6248","한식","2018-05-02"
"일반음식점","신비국수국밥","제주특별자치도 제주시 중앙로24길 22 (삼도이동)","제주특별자치도 제주시 삼도이동 1238번지 4호  ","30.96","064-744-3246","한식","2018-05-02"
"일반음식점","경성주막1929제주시청점","제주특별자치도 제주시 신성로13길 14-1. 2층 (이도이동)","제주특별자치도 제주시 이도이동 1767번지 26호  ","146.9",,"한식","2018-05-02"
"일반음식점","서림칡냉면",,"제주특별자치도 제주시 화북일동 1987번지  ","66","064-721-5161","한식","2018-05-02"
"일반음식점","행복맛집","제주특별자치도 제주시 진남로6길 32 (화북일동)","제주특별자치도 제주시 화북일동 1948번지 18호  ","34.32","064-758-6788","한식","2018-05-02"
"일반음식점","믿음","제주특별자치도 제주시 서광로 283 (이도일동.(광양중2로6))","제주특별자치도 제주시 이도일동 1775번지 6호 (광양중2로6)","29.46","064-753-7309","한식","2018-05-02"
"일반음식점","생생회포장마차본점","제주특별자치도 제주시 동광로2길 9-1. 1층 (이도이동)","제주특별자치도 제주시 이도이동 1176번지 34호  ","106.68","064-725-0036","한식","2018-05-02"
"일반음식점","광양마산아구찜","제주특별자치도 제주시 광양2길 7. 1층 (이도일동)","제주특별자치도 제주시 이도일동 1786번지 4호  ","67.15","064-722-4178","한식","2018-05-02"
"일반음식점","슬기","제주특별자치도 제주시 사라봉7길 36 (건입동)","제주특별자치도 제주시 건입동 674번지 25호  ","25.8","064-756-4802","한식","2018-05-02"
"일반음식점","마루","제주특별자치도 제주시 신성로 102 (이도이동)","제주특별자치도 제주시 이도이동 1187번지 4호  ","44.55",,"호프/통닭","2018-05-02"
"일반음식점","안평","제주특별자치도 제주시 선사로6길 15. 1층 (삼양일동)","제주특별자치도 제주시 삼양일동 1657번지 10호  ","90.45","064-755-1170","한식","2018-05-02"
"일반음식점","범양","제주특별자치도 제주시 관덕로 64-2. 1층 (이도일동)","제주특별자치도 제주시 이도일동 1349번지 45호  ","104.1","064-758-2554","한식","2018-05-02"
"일반음식점","양반촌","제주특별자치도 제주시 서광로5길 29 (용담일동.(호수2로55))","제주특별자치도 제주시 용담일동 2819번지 6호 (호수2로55)","48.19","064-743-9059","한식","2018-05-02"
"일반음식점","유남","제주특별자치도 제주시 오현길 90 (이도일동)","제주특별자치도 제주시 이도일동 1349번지 47호  ","28.1","064-758-4229","한식","2018-05-02"
"일반음식점","로베로관광호텔구내(르네상스)양식","제주특별자치도 제주시 관덕로 26 (삼도이동)","제주특별자치도 제주시 삼도이동 57번지 2호  ","59.2","064-757-7111","경양식","2018-05-02"
"일반음식점","로베로관광호텔구내(한라정)한식","제주특별자치도 제주시 관덕로 26 (삼도이동)","제주특별자치도 제주시 삼도이동 57번지 2호  ","59.2","064-757-7111","한식","2018-05-02"
"일반음식점","노형엔횟집","제주특별자치도 제주시 다랑곶4길 30 (노형동)","제주특별자치도 제주시 노형동 1069번지 9호  ","32.93",,"식육(숯불구이)","2018-05-02"
"일반음식점","깜돈흑돼지","제주특별자치도 제주시 삼무로3길 6 (연동.(성두5로10))","제주특별자치도 제주시 연동 291번지 48호 (성두5로10)","138.9","064-744-1418","식육(숯불구이)","2018-05-02"
"일반음식점","제주청정원한우마당","제주특별자치도 제주시 신대로14길 42 (연동)","제주특별자치도 제주시 연동 282번지 40호  ","49.5",,"식육(숯불구이)","2018-05-02"
"일반음식점","정직한통닭모이세점","제주특별자치도 제주시 원노형로 48 (노형동)","제주특별자치도 제주시 노형동 938번지 11호  ","64.6",,"통닭(치킨)","2018-05-02"
"일반음식점","김씨며느리","제주특별자치도 제주시 문송길 25 (연동)","제주특별자치도 제주시 연동 313번지 1호  ","122.44","064-742-4343","한식","2018-05-02"
"일반음식점","미르","제주특별자치도 제주시 도남로 39 (도남동)","제주특별자치도 제주시 도남동 918번지 2호  ","43.32","064-751-1314","까페","2018-05-02"
"일반음식점","사호정","제주특별자치도 제주시 중앙로 21-1 (건입동)","제주특별자치도 제주시 건입동 1419번지 1호  ","30.7","064-757-8870","한식","2018-05-02"
"일반음식점","미원","제주특별자치도 제주시 원노형6길 10 (노형동)","제주특별자치도 제주시 노형동 928번지 12호  ","117.15","064-742-1289","한식","2018-05-02"
"일반음식점","꼬엥","제주특별자치도 제주시 중앙로12길 6 (이도일동)","제주특별자치도 제주시 이도일동 1386번지 1호  ","58",,"경양식","2018-05-02"
"일반음식점","통큰순대집","제주특별자치도 제주시 동광로1길 32. 제40. 41호 (이도일동)","제주특별자치도 제주시 이도일동 1289번지 5호 제40.41호","14.4","064-721-1559","한식","2018-05-02"
"일반음식점","민자","제주특별자치도 제주시 동문로4길 9 (일도일동)","제주특별자치도 제주시 일도일동 1103번지  ","14","064-722-5483","한식","2018-05-02"
"일반음식점","푸른바당횟집","제주특별자치도 제주시 서해안로 476 (용담삼동)","제주특별자치도 제주시 용담삼동 2373번지  ","32.4","064-742-2843","회집","2018-05-02"
"일반음식점","경태","제주특별자치도 제주시 서문로4길 13-2 (용담일동.136호(서문시장길22))","제주특별자치도 제주시 용담일동 135번지 9호 136호(서문시장길22)","18.04","064-752-2352","한식","2018-05-02"
"일반음식점","수라상","제주특별자치도 제주시 연동10길 36 (연동.(도호2로68))","제주특별자치도 제주시 연동 279번지 7호 (도호2로68)","49.5","064-746-4301","한식","2018-05-02"
